,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130510,5.2703,20130621,4.84,5.15,0.06404958677685961,0
1,20130927,4.8933,20131108,4.45,6.38,0.43370786516853926,0
2,20131227,4.5877,20140523,4.39,7.74,0.7630979498861049,1
3,20140801,4.834,20150109,6.6,12.59,0.9075757575757577,1
4,20151127,6.9527,20160122,5.25,7.49,0.4266666666666667,0
5,20160311,5.9893,20160527,6.11,17.2,1.8150572831423895,1
6,20160826,6.2323,20170421,8.34,11.85,0.420863309352518,0
7,20170609,8.611,20170908,9.32,10.68,0.1459227467811158,0
8,20190322,6.742999999999999,20190510,5.64,7.21,0.2783687943262412,0
9,20190705,5.5677,20190809,5.12,5.83,0.138671875,0
