,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130705,3.3591,20130802,3.0595,4.6108,0.507043634580814,1
1,20140110,3.5353,20140321,3.8926,7.5466,0.9387042079843806,1
2,20140711,3.8725,20150710,7.7644,9.7349,0.2537865128020194,0
3,20150710,7.4469,20150724,8.8722,9.7349,0.09723631117422965,0
4,20151218,8.7865,20160122,6.8625,8.3036,0.2099963570127504,0
5,20170407,7.2448,20170505,6.7742,7.2481,0.06995660004133322,0
6,20170825,6.7929,20171013,6.626,6.6753,0.007440386356776287,0
7,20190215,3.8576,20190510,4.26,4.27,0.002347417840375537,0
