,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130607,2.2566,20130927,2.9795,5.5135,0.8504782681657996,1
1,20131220,2.9034,20140411,3.9543,7.4977,0.8960878031510002,1
2,20140725,4.4888,20140808,4.5859,7.7906,0.6988159358032231,1
3,20150206,5.7676,20150710,9.2513,15.6774,0.6946158918206089,1
4,20150710,8.3389,20150724,8.5312,15.6774,0.8376547261815455,1
5,20151120,8.9232,20160129,10.5255,24.4249,1.3205453422640256,1
6,20160205,8.6752,20160226,9.4895,24.4249,1.573886927656884,1
7,20160311,8.6972,20160527,23.9263,24.4249,0.020838993074566468,0
8,20171124,8.0092,20180119,7.77,7.9,0.01673101673101683,0
9,20180504,7.1903,20180615,6.66,6.79,0.019519519519519503,0
10,20190201,5.0277,20190517,5.2,6.52,0.2538461538461537,0
11,20190524,5.4807,20190614,5.35,8.25,0.5420560747663552,1
12,20190614,5.584,20190726,5.19,8.25,0.5895953757225433,1
13,20191011,5.6997,20191115,5.15,8.25,0.6019417475728154,1
