,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130517,3.2857,20130712,3.2653,4.2839,0.3119468349003155,0
1,20130726,3.3741,20131206,3.4188,8.5793,1.5094477594477593,1
2,20140228,3.3253,20140801,3.9742,7.2891,0.8341049771023099,1
3,20150213,4.9806,20150717,8.0143,15.0774,0.8813121545237887,1
4,20150717,8.0513,20150731,10.6417,15.0774,0.41682250016444744,0
5,20160729,7.7968,20161118,8.3423,10.094,0.20997806360356253,0
6,20170407,8.1133,20170505,6.9293,7.21,0.04050914233760992,0
7,20171222,6.1845,20180214,5.76,6.31,0.09548611111111108,0
8,20180302,6.1357,20180404,5.91,6.1,0.03214890016920465,0
9,20190201,3.1933,20190510,3.3,3.75,0.13636363636363644,0
10,20190830,3.2803,20191101,3.05,3.18,0.042622950819672246,0
