,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130517,2.376,20130621,2.2497,2.7315,0.21416188825176702,0
1,20130927,2.2269,20131108,2.1762,2.4022,0.10385074901203932,0
2,20131108,2.2023,20131122,2.2343,2.4022,0.07514657834668573,0
3,20140704,2.0729,20141128,3.2658,19.7529,5.048410802866067,1
4,20160401,6.2223,20160520,5.2299,6.7243,0.2857416011778429,0
5,20160701,5.6454,20160812,5.2597,6.7243,0.27845694621366257,0
6,20160812,5.3887,20160909,5.2599,6.7243,0.278408334759216,0
7,20161223,5.4358,20170126,5.2599,6.1465,0.16855833761098113,0
8,20170203,5.4416,20170804,5.2699,5.4293,0.030247253268562927,0
9,20190104,2.7098,20190510,4.2,4.87,0.1595238095238095,0
