,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20131115,5.2337,20140110,5.0292,6.0209,0.19718841962936445,0
1,20140711,4.7878,20150918,14.9036,19.3554,0.29870635282750463,0
2,20151030,16.1732,20151211,14.6151,15.5766,0.06578812324239992,0
3,20160930,11.0376,20170126,11.1526,12.4443,0.11582052615533603,0
4,20170217,11.583,20170324,10.9406,11.249,0.02818858197905057,0
5,20180601,7.6589,20180706,7.3674,8.56,0.16187528843282575,0
6,20180713,7.4802,20180921,7.45,11.98,0.6080536912751678,1
7,20181221,7.3207,20190517,8.78,9.96,0.13439635535307534,0
8,20190524,8.1077,20190606,8.45,9.96,0.1786982248520712,0
9,20190606,8.2017,20190621,8.47,9.96,0.1759149940968123,0
