,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130823,8.2178,20140321,15.7921,24.5248,0.5529790211561477,1
1,20140404,14.0481,20140418,14.4374,24.5248,0.6986992117694321,1
2,20140620,15.27,20141128,20.7228,54.3465,1.622546181018009,1
3,20150717,32.5292,20150731,31.9209,47.5545,0.48976062704998913,0
4,20150807,32.9269,20150902,25.6596,47.5545,0.8532829818079781,1
5,20151023,32.3082,20160129,32.1587,37.1983,0.1567103147826249,0
6,20160205,32.0814,20160226,33.3377,37.1983,0.11580282982929252,0
7,20160408,32.1736,20160520,28.066999999999997,37.1983,0.3253393665158374,0
8,20160805,30.7563,20160914,30.3836,31.078000000000003,0.02285443462920792,0
9,20180518,14.5561,20180629,11.3465,13.7203,0.20920988851187583,0
10,20190125,10.4738,20190510,12.7744,15.75,0.23293461923847697,0
11,20190816,13.5164,20191011,13.13,13.44,0.023610053313023512,0
