,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130918,4.3724,20131115,4.3513,9.8965,1.274377772160044,1
1,20150130,9.7407,20150213,9.9274,58.7328,4.916231843181498,1
2,20150306,10.0675,20150703,15.7214,17.4419,0.10943681860394121,0
3,20150717,13.3853,20150731,14.4855,17.4419,0.20409374892133517,0
4,20151211,13.5817,20160122,11.7762,20.0492,0.7025186392894143,1
5,20160318,11.682,20161111,16.7623,18.0731,0.07819929245986532,0
6,20170217,16.1109,20170414,14.25,14.4386,0.01323508771929819,0
7,20180907,6.4221,20181207,6.7921,12.4855,0.8382385418353677,1
8,20190510,8.4022,20190531,8.9895,9.7886,0.0888925969186274,0
