,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20140411,4.5639,20140509,4.2397,6.8636,0.6188881288770431,1
1,20140620,4.4196,20141031,5.3367,15.9151,1.9821987370472387,1
2,20150717,9.307,20150731,9.9163,13.4695,0.35831913112753755,0
3,20160701,6.5259,20161216,6.6347,12.8924,0.9431775362864939,1
4,20170113,6.6442,20170526,8.5421,12.8924,0.5092775781131105,1
5,20170602,7.7617,20170616,7.8988,12.8924,0.632197295791766,1
6,20171222,9.9523,20180214,8.141,9.3558,0.1492199975432994,0
7,20180921,7.3578,20181102,6.7903,9.4925,0.3979500169359232,0
8,20181130,6.9454,20181214,6.9189,9.4925,0.371966642096287,0
9,20190215,6.9622,20190510,7.1763,8.08,0.125928403216142,0
10,20190712,7.4065,20190816,6.5,7.54,0.16,0
11,20190930,7.4443,20191108,6.87,7.54,0.09752547307132459,0
