,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130517,2.4914,20130621,2.2181,2.512,0.13250078896352727,0
1,20131025,2.2325,20140103,2.2686,6.527,1.877104822357401,1
2,20140130,2.2486,20140509,2.2935,11.6158,4.064660998473949,1
3,20140523,2.3608,20160122,12.9591,47.7027,2.6810195152441145,1
4,20160401,15.2226,20160527,11.9207,17.1571,0.4392695059853867,0
5,20160624,14.167,20160902,14.0232,14.4695,0.031825831479262996,0
6,20160914,13.609000000000002,20161111,13.0711,13.3687,0.022767785419742868,0
7,20170407,12.5042,20170505,11.0777,12.3351,0.1135073165007177,0
8,20170901,11.2702,20171103,11.2209,11.2209,0.0,0
9,20190201,5.6753,20190510,6.17,6.98,0.13128038897893038,0
10,20190524,6.2733,20190606,6.4,6.98,0.09062500000000001,0
11,20190606,6.3053,20190621,6.43,6.98,0.0855365474339037,0
12,20190830,6.438,20191101,5.55,10.71,0.9297297297297299,1
