,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20160108,21.3488,20160422,21.8895,23.4348,0.07059549098883014,0
1,20160624,20.1214,20160812,17.8866,23.4348,0.31018751467579064,0
2,20160930,20.0736,20161216,20.6524,21.2818,0.030475876895663476,0
3,20161230,19.9214,20170113,20.0811,21.2818,0.059792541245250574,0
4,20170331,19.3675,20170505,17.3856,27.8753,0.6033556506534142,1
5,20171020,15.4895,20171201,13.7483,17.21,0.25179113053977586,0
6,20180323,13.6158,20180511,12.7521,17.21,0.34958163753421007,0
7,20190222,8.4697,20190621,9.28,10.0,0.0775862068965518,0
