,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130628,3.015,20130927,3.5035,8.4033,1.3985443128300272,1
1,20140328,5.1203,20140411,5.1846,12.5272,1.4162326891177721,1
2,20140801,6.3016,20140815,6.372999999999999,10.4394,0.6380668445002354,1
3,20150306,8.1589,20150807,13.3798,17.5905,0.3147057504596481,0
4,20151030,11.7666,20160122,9.5677,22.4532,1.3467709062784157,1
5,20160624,11.0516,20160923,15.3706,16.1974,0.05379100360428342,0
6,20170915,8.9321,20171103,7.3317,7.4412,0.014935144645853021,0
7,20180427,5.8992,20180615,5.1501,6.3455,0.232111997825285,0
8,20180706,5.3762,20180914,4.8413,7.3416,0.5164521925928984,1
9,20190215,4.6497,20190517,5.2597,6.95,0.3213681388672359,0
10,20190606,5.013,20190621,5.06,6.95,0.37351778656126494,0
11,20190719,5.215,20190823,5.02,6.95,0.38446215139442247,0
12,20190930,5.5614,20200110,6.04,6.3,0.043046357615894,0
