,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20150710,16.1744,20150724,17.8604,22.0904,0.23683680096750356,0
1,20150731,16.7328,20150814,17.4373,22.0904,0.26684750506098986,0
2,20151030,17.5336,20160122,13.3013,35.3005,1.6539135272492165,1
3,20160325,16.1845,20161230,24.9226,27.0096,0.08373925673886351,0
4,20170303,24.7106,20170512,21.0264,25.6786,0.22125518395921323,0
5,20170728,23.5151,20170915,22.2538,23.5946,0.060250384204046124,0
6,20170929,23.1559,20171103,21.7875,25.1228,0.153083189902467,0
7,20190222,14.8788,20190517,14.7838,15.2862,0.033983143711359715,0
