,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20131115,8.4147,20140103,8.1151,9.7765,0.20472945496666714,0
1,20140314,7.7822,20140509,7.7213,11.6033,0.5027650784194372,1
2,20140718,7.7444,20150217,11.5061,22.0404,0.9155404524556541,1
3,20151211,11.4023,20160129,8.6949,12.657,0.45568091639926844,0
4,20161021,9.961,20170602,17.0971,19.3221,0.13013902942604288,0
5,20170728,15.4769,20171013,16.1018,16.5507,0.027878870685264893,0
6,20181116,10.4961,20190510,14.5404,19.28,0.32596077136805046,0
7,20190830,16.4408,20190930,15.31,22.1,0.44350097975179625,0
8,20190930,16.7915,20191101,15.3,22.1,0.4444444444444445,0
