,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130927,4.3359,20131011,4.34,5.1,0.17511520737327185,0
1,20140214,4.2147,20140509,4.37,9.35,1.1395881006864987,1
2,20150116,6.9013,20150130,7.17,25.97,2.622036262203626,1
3,20160318,13.251,20160527,12.54,17.75,0.41547049441786293,0
4,20160729,14.7893,20160923,14.79,17.22,0.16430020283975658,0
5,20180302,7.565,20180629,8.39,9.79,0.16686531585220482,0
6,20180706,8.8633,20180817,7.76,9.18,0.18298969072164947,0
7,20181130,8.2643,20190111,7.15,9.19,0.2853146853146852,0
8,20190301,7.141,20190517,7.01,8.98,0.2810271041369473,0
9,20190930,7.1129999999999995,20191122,6.59,10.48,0.5902883156297422,1
