,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130930,5.4842,20140117,5.2738,6.5759,0.24689976866775387,0
1,20140207,5.5988,20140404,5.1067,6.5759,0.28770047192903436,0
2,20140620,5.4757,20141107,5.9174,13.0624,1.2074559772873223,1
3,20150227,6.0336,20150925,6.4485,10.9993,0.7057145072497479,1
4,20151009,7.0355,20151023,7.6476,10.9993,0.4382682148647942,0
5,20160311,8.2552,20160527,9.0072,10.7597,0.19456656896704874,0
6,20160624,8.9609,20160708,9.4883,10.7597,0.13399660634676389,0
7,20160812,9.1257,20161216,9.6591,10.2997,0.0663208787568199,0
8,20161223,9.4032,20170120,8.6818,10.2997,0.1863553640950032,0
9,20170929,9.3144,20171110,9.0313,9.6798,0.0718058308327705,0
10,20171124,9.1561,20171222,8.7642,9.4986,0.08379544054220568,0
11,20190426,4.8693,20190510,4.771,5.4526,0.14286313141898982,0
