,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130510,4.4002,20130705,3.9145,6.2915,0.6072295312300422,1
1,20131108,4.3829,20140411,5.6754,8.6504,0.5241921274271416,1
2,20140620,5.5864,20141121,7.4232,25.9676,2.4981679060243565,1
3,20150227,7.1104,20150710,11.7351,18.4088,0.5686956225341071,1
4,20150710,10.770999999999999,20150731,12.9854,18.4088,0.4176536725861351,0
5,20150731,11.0017,20150814,11.7351,18.4088,0.5686956225341071,1
6,20151127,12.982999999999999,20160122,11.4938,25.8869,1.2522490386121212,1
7,20160325,11.3315,20160520,10.4135,37.6898,2.619321073606376,1
8,20160520,12.0384,20170331,31.9592,56.3549,0.7633388820746453,1
9,20170428,31.1644,20170609,29.0983,32.5527,0.11871483901121384,0
10,20180309,28.6424,20180420,27.3263,28.6205,0.047360967273286175,0
11,20190322,13.7498,20190614,20.9499,22.48,0.07303614814390527,0
