,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20140627,5.3437,20140725,4.5861,10.3409,1.2548352630775603,1
1,20141231,5.2564,20150116,5.4771,18.8684,2.444961749831115,1
2,20150710,9.0787,20150821,10.9117,30.7269,1.8159590164685613,1
3,20150902,9.6827,20150918,10.2417,30.7269,2.0001757520724097,1
4,20160729,11.612,20161014,11.7226,12.0196,0.025335676385784774,0
5,20170922,9.6546,20171027,9.2973,11.6539,0.25347143794434945,0
6,20180105,9.2712,20180223,9.1084,11.6539,0.27946730490536215,0
7,20180223,9.2393,20180511,9.6155,9.9237,0.032052415371015476,0
8,20190301,5.178,20190510,4.99,5.13,0.028056112224448832,0
