,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130607,8.052,20130705,5.7175,7.3008,0.2769217315260165,0
1,20140130,6.1377,20140321,5.5122,7.3008,0.32448024382279306,0
2,20140718,5.6073,20150130,6.3625,12.1093,0.903229862475442,1
3,20150807,7.6103,20150911,5.1702,7.3887,0.42909365208309147,0
4,20151231,6.4821,20160520,5.0333,9.8223,0.9514632547235414,1
5,20160805,5.7399,20161230,7.8774,9.705,0.2320054840429584,0
6,20170630,7.2164,20171027,8.8059,15.0511,0.7092063275758299,1
7,20171117,7.9904,20171201,9.0698,15.0511,0.6594742993230279,1
8,20180323,10.4081,20180404,11.044,12.5589,0.13716950380296986,0
9,20180404,10.413,20180420,10.3501,12.5589,0.21340856610081063,0
10,20180608,10.8573,20180706,9.92,11.7672,0.18620967741935493,0
11,20180810,11.117,20180914,9.49,10.8485,0.1431506849315068,0
12,20190308,9.089,20190517,8.5322,9.2261,0.08132720751974884,0
13,20190517,8.9082,20190531,8.8743,9.1284,0.028633244312227368,0
14,20190628,8.8006,20190816,7.58,8.62,0.1372031662269128,0
