,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20151009,30.6872,20151211,26.9367,31.0258,0.15180404429644323,0
1,20160624,22.833000000000002,20160722,21.4947,23.475,0.0921296877835001,0
2,20161104,21.1653,20161223,20.0916,23.1864,0.15403452188974492,0
3,20170331,20.202,20170505,17.9122,19.2656,0.07555744129699316,0
4,20190104,6.5235,20190222,6.13,8.8,0.4355628058727571,0
5,20190222,6.4927,20190517,6.44,7.2,0.1180124223602484,0
6,20190712,6.737,20190816,5.65,8.15,0.44247787610619466,0
