,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130930,3.3529,20131025,3.0839999999999996,3.8388,0.24474708171206241,0
1,20140110,3.2964,20140314,3.2817,4.1366,0.2605052259499649,0
2,20140411,3.3107,20140425,3.3289,4.1366,0.24263270149298558,0
3,20140530,3.2938,20140725,3.1872,6.718,1.1078062248995986,1
4,20140808,3.3235,20150109,3.1872,10.3254,2.2396460843373496,1
5,20150109,3.4848,20150123,3.5489,10.3254,1.9094649046183325,1
6,20150703,5.2462,20150724,5.5341,7.6535,0.382971034133825,0
7,20150731,5.4633,20150814,6.7659,7.6535,0.13118727737625444,0
8,20151204,6.1683,20160129,5.4888,8.2838,0.5092187727736479,1
9,20160311,5.8429,20160520,5.7741,15.8354,1.7424880067889368,1
10,20160527,6.1699,20160812,7.0739,15.8354,1.2385671270444873,1
11,20160930,6.7973,20161118,6.7866,9.6239,0.41807385141307885,0
12,20170901,6.8006,20171110,6.3993,6.7687,0.05772506367883983,0
13,20190222,3.3853,20190524,3.83,4.65,0.21409921671018284,0
14,20190930,4.0537,20191108,3.98,4.65,0.16834170854271366,0
