,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130918,4.0109,20131227,4.0568,5.0689,0.24948235062117932,0
1,20140124,4.0132,20140509,4.3161,7.0396,0.6310094761474481,1
2,20140606,4.2952,20140620,4.3328,7.0396,0.6247230428360415,1
3,20140711,4.2927,20150703,13.5734,14.8615,0.09489884627285722,0
4,20150717,12.0581,20150731,12.097999999999999,14.8615,0.22842618614647056,0
5,20151211,12.6184,20160108,11.7108,11.7108,0.0,0
6,20160805,8.0754,20161230,8.6257,9.0463,0.04876125995571377,0
7,20170811,7.8841,20171229,9.6656,11.4817,0.18789314682999508,0
8,20180706,10.0387,20180831,8.8476,9.554,0.07984086079840864,0
9,20190222,8.0059,20190524,8.29,10.76,0.2979493365500604,0
10,20190606,7.7159,20190816,8.08,12.78,0.5816831683168316,1
