,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20140516,4.5662,20140530,4.8185,10.7026,1.2211476600601847,1
1,20150731,11.8891,20150814,12.8972,14.5855,0.13090438234655583,0
2,20150821,12.359000000000002,20151204,14.5855,14.5855,0.0,0
3,20160617,10.3481,20160923,11.7138,13.9401,0.19005788044870137,0
4,20171103,7.5815,20171208,7.2997,7.4316,0.018069235722016082,0
5,20190222,4.8151,20190517,5.3465,6.77,0.26624894790984754,0
6,20190606,5.0912,20190621,5.1,6.77,0.32745098039215687,0
7,20190906,5.1273,20191206,4.86,5.85,0.20370370370370355,0
