,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130930,8.0849,20131227,7.8799,9.2778,0.17740072843563992,0
1,20140207,7.9214,20140411,7.8416,8.9935,0.14689604162415829,0
2,20140718,7.6791,20141121,8.2006,18.8187,1.2947955027680902,1
3,20160812,7.8228,20161216,8.3669,24.4819,1.926041903213855,1
4,20161230,8.1968,20170126,7.9839,24.4819,2.066408647402898,1
5,20170331,8.4212,20170728,16.3812,19.0653,0.16385246502087764,0
6,20180413,13.6266,20180511,11.9306,13.1839,0.10504920121368577,0
7,20190104,8.4126,20190201,8.0228,10.8353,0.3505633943261704,0
8,20190215,8.1725,20190510,8.1906,9.2268,0.12651087832393243,0
9,20190628,8.613,20190802,7.87,7.96,0.011435832274459956,0
