,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20131206,6.5593,20131220,6.8066,6.8941,0.01285516998207614,0
1,20140801,5.2085,20141024,5.3878,40.5038,6.517688110174839,1
2,20151218,11.5681,20160122,7.0721,7.9821,0.12867465109373455,0
3,20160914,6.7248,20170126,7.7206,8.7838,0.1377095044426598,0
4,20171229,8.0934,20180112,8.1707,10.7578,0.31663137797251145,0
5,20180330,8.228,20180713,8.9199,9.8688,0.10638011636901759,0
6,20190315,4.6443,20190510,4.05,4.23,0.0444444444444446,0
