,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130517,4.6656,20130712,4.4543,10.2625,1.3039534831511124,1
1,20130802,4.6569,20140509,8.4603,9.2181,0.08957129179816313,0
2,20140930,8.2939,20141031,7.3272,17.0181,1.3225925319358007,1
3,20141121,7.9745,20150703,11.3076,11.7558,0.03963705826170009,0
4,20160115,8.03,20160129,8.386000000000001,8.6062,0.026258049129501356,0
5,20160408,7.8876,20160506,7.1894,8.8072,0.22502573232814976,0
6,20160930,7.2168,20161216,7.534,7.9457,0.05464560658348827,0
7,20161230,7.3793,20170126,6.6054,7.4096,0.12174887213491987,0
8,20171020,5.3615,20180202,5.0256,5.1915,0.033010983763132704,0
9,20190111,3.4171,20190510,4.5182,4.76,0.0535168872559868,0
10,20190628,4.0882,20190816,3.75,4.76,0.26933333333333326,0
