,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130621,5.4547,20130927,5.0098,10.9813,1.1919637510479457,1
1,20131206,5.1903,20141031,9.0566,37.1688,3.104056710023629,1
2,20141231,9.3544,20150116,9.5877,37.1688,2.8767170437122562,1
3,20150710,18.6184,20150731,21.1779,23.7751,0.12263727753932152,0
4,20151211,17.7318,20160122,11.9955,19.9831,0.6658830394731358,1
5,20160902,16.028,20160923,14.9923,18.4048,0.22761684331290072,0
6,20161111,15.5758,20161223,13.7856,28.38,1.0586699164345403,1
7,20181123,5.7037,20190510,7.08,9.48,0.33898305084745767,0
8,20190621,7.5623,20190726,6.25,9.48,0.5168,1
