,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130930,2.1479,20131018,2.2094,3.7445,0.6948040191907304,1
1,20140117,2.1876,20140509,2.5878,4.9902,0.9283561326223045,1
2,20140516,2.4197,20140530,2.519,4.9902,0.9810242159587136,1
3,20150710,5.2193,20150724,5.3772,9.5854,0.7826006099828906,1
4,20150902,5.7755,20151225,7.5408,12.3654,0.6397994907702099,1
5,20160304,6.7749,20160812,10.4472,11.2308,0.07500574316563288,0
6,20161014,9.7027,20161118,9.5095,17.2233,0.8111677795888322,1
7,20170224,9.5665,20170519,10.019,17.2233,0.7190637788202413,1
8,20170602,9.6531,20171013,10.9789,11.0449,0.006011531209866265,0
9,20190215,4.4707,20190510,4.3825,4.3922,0.0022133485453507355,0
