,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20131213,2.9129,20140124,2.654,3.5049,0.3206103993971365,0
1,20140620,2.8184,20150710,4.9607,5.606,0.13008244804160699,0
2,20150710,4.9877,20150724,4.9903,5.606,0.12337935595054395,0
3,20150807,5.1065,20150902,4.1556,5.0022,0.20372509384926377,0
4,20151218,4.7928,20160115,3.8656,4.351,0.12556912251655625,0
5,20160408,4.1566,20160520,3.4868,5.7968,0.6624985660204199,1
6,20160826,3.763,20170505,4.8806,7.3357,0.5030324140474531,1
7,20170623,4.9657,20171117,6.1708,8.9855,0.45613210604783827,0
8,20180427,6.3379,20180511,6.3242,7.5027,0.18634768033901514,0
9,20190222,4.7982,20190517,6.78,7.78,0.14749262536873156,0
