,signal_date,ma30_price,buy_date,buy_price,highest_price,increase_rate,satisfied?
0,20130816,1.9855,20140321,3.2934,5.632000000000001,0.7100868403473615,1
1,20140801,3.2325,20150109,4.5564,14.7546,2.2382143797735052,1
2,20160914,4.1972,20160930,4.2924,4.6542,0.08428850992451789,0
3,20160930,4.237,20161021,4.3217,4.6542,0.07693731633385022,0
4,20161125,4.3423,20161230,4.1066,4.4391,0.08096722349388778,0
5,20170210,4.3035,20170414,4.1653,4.2044,0.009387078961899374,0
6,20171103,3.5854,20171222,3.471,3.5402,0.01993661768942666,0
7,20190201,2.5474,20190510,3.1462,3.4043,0.08203547136227837,0
8,20190628,2.9497,20190719,2.9279,4.05,0.38324396325011084,0
