,trade_date,buy_price,highest_price,increase_rate
0,20130927,4.0777,6.7166,0.6471540329107094
1,20140117,4.0313,6.7166,0.6661126683700047
2,20140411,4.3761,6.7729,0.5477022919951554
3,20140718,4.628,12.4121,1.6819576490924806
4,20150109,4.9164,12.4121,1.5246318444390203
5,20150123,4.8766,12.4121,1.5452364352212609
6,20160129,7.0614,14.978,1.1211091285014303
7,20160520,6.4646,14.494000000000002,1.2420567397828175
8,20190510,3.39,7.36,1.1710914454277286
9,20190524,4.18,7.36,0.7607655502392346
10,20191011,3.86,8.06,1.0880829015544045
