,trade_date,buy_price,highest_price,increase_rate
0,20131025,9.988,18.4814,0.8503604325190229
1,20140509,13.1113,21.7214,0.6566930815403507
2,20140530,13.5185,21.7214,0.6067906942338277
3,20150717,17.6006,30.2726,0.7199754553822029
4,20150814,17.9779,30.2726,0.6838785397627085
5,20160122,18.5099,34.9555,0.8884758966823162
6,20160226,17.9875,34.9555,0.9433217512161223
7,20161223,26.0122,48.4866,0.863994587155258
8,20170428,23.0327,48.4866,1.1051201118409915
9,20180504,18.195999999999998,27.9664,0.5369531765223128
